Sample in Buffer,Sample in Window,TRIGGER,npu_irq,npu_irq_latched,npu_array_clk_en,cpu_halted,debug_resetn,ram_write_beats[31:0],ram_read_beats[31:0],cycle_counter[31:0],dma_active_cycles[31:0],dma_data_cycles[31:0],dma_read_beats[31:0],dma_write_beats[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1,1,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2,2,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3,3,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4,4,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5,5,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6,6,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7,7,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
8,8,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
9,9,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
10,10,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
11,11,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
12,12,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
13,13,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
14,14,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
15,15,0,0,0,0,0,0,00000000,00000000,00000000,00000000,00000000,00000000,00000000
16,16,1,0,0,0,0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000
17,17,0,0,0,0,0,1,00000000,00000000,00000001,00000000,00000000,00000000,00000000
18,18,0,0,0,0,0,1,00000000,00000000,00000002,00000000,00000000,00000000,00000000
19,19,0,0,0,0,0,1,00000000,00000000,00000003,00000000,00000000,00000000,00000000
20,20,0,0,0,0,0,1,00000000,00000000,00000004,00000000,00000000,00000000,00000000
21,21,0,0,0,0,0,1,00000000,00000000,00000005,00000000,00000000,00000000,00000000
22,22,0,0,0,0,0,1,00000000,00000001,00000006,00000000,00000000,00000000,00000000
23,23,0,0,0,0,0,1,00000000,00000001,00000007,00000000,00000000,00000000,00000000
24,24,0,0,0,0,0,1,00000000,00000001,00000008,00000000,00000000,00000000,00000000
25,25,0,0,0,0,0,1,00000000,00000002,00000009,00000000,00000000,00000000,00000000
26,26,0,0,0,0,0,1,00000000,00000002,0000000a,00000000,00000000,00000000,00000000
27,27,0,0,0,0,0,1,00000000,00000002,0000000b,00000000,00000000,00000000,00000000
28,28,0,0,0,0,0,1,00000000,00000002,0000000c,00000000,00000000,00000000,00000000
29,29,0,0,0,0,0,1,00000000,00000003,0000000d,00000000,00000000,00000000,00000000
30,30,0,0,0,0,0,1,00000000,00000003,0000000e,00000000,00000000,00000000,00000000
31,31,0,0,0,0,0,1,00000000,00000003,0000000f,00000000,00000000,00000000,00000000
32,32,0,0,0,0,0,1,00000000,00000003,00000010,00000000,00000000,00000000,00000000
33,33,0,0,0,0,0,1,00000000,00000004,00000011,00000000,00000000,00000000,00000000
34,34,0,0,0,0,0,1,00000000,00000004,00000012,00000000,00000000,00000000,00000000
35,35,0,0,0,0,0,1,00000000,00000004,00000013,00000000,00000000,00000000,00000000
36,36,0,0,0,0,0,1,00000000,00000005,00000014,00000000,00000000,00000000,00000000
37,37,0,0,0,0,0,1,00000000,00000005,00000015,00000000,00000000,00000000,00000000
38,38,0,0,0,0,0,1,00000000,00000005,00000016,00000000,00000000,00000000,00000000
39,39,0,0,0,0,0,1,00000000,00000005,00000017,00000000,00000000,00000000,00000000
40,40,0,0,0,0,0,1,00000000,00000006,00000018,00000000,00000000,00000000,00000000
41,41,0,0,0,0,0,1,00000000,00000006,00000019,00000000,00000000,00000000,00000000
42,42,0,0,0,0,0,1,00000000,00000006,0000001a,00000000,00000000,00000000,00000000
43,43,0,0,0,0,0,1,00000000,00000007,0000001b,00000000,00000000,00000000,00000000
44,44,0,0,0,0,0,1,00000000,00000007,0000001c,00000000,00000000,00000000,00000000
45,45,0,0,0,0,0,1,00000000,00000007,0000001d,00000000,00000000,00000000,00000000
46,46,0,0,0,0,0,1,00000000,00000007,0000001e,00000000,00000000,00000000,00000000
47,47,0,0,0,0,0,1,00000000,00000007,0000001f,00000000,00000000,00000000,00000000
48,48,0,0,0,0,0,1,00000000,00000007,00000020,00000000,00000000,00000000,00000000
49,49,0,0,0,0,0,1,00000000,00000007,00000021,00000000,00000000,00000000,00000000
50,50,0,0,0,0,0,1,00000000,00000008,00000022,00000000,00000000,00000000,00000000
51,51,0,0,0,0,0,1,00000000,00000008,00000023,00000000,00000000,00000000,00000000
52,52,0,0,0,0,0,1,00000000,00000008,00000024,00000000,00000000,00000000,00000000
53,53,0,0,0,0,0,1,00000000,00000009,00000025,00000000,00000000,00000000,00000000
54,54,0,0,0,0,0,1,00000000,00000009,00000026,00000000,00000000,00000000,00000000
55,55,0,0,0,0,0,1,00000000,00000009,00000027,00000000,00000000,00000000,00000000
56,56,0,0,0,0,0,1,00000000,00000009,00000028,00000000,00000000,00000000,00000000
57,57,0,0,0,0,0,1,00000000,00000009,00000029,00000000,00000000,00000000,00000000
58,58,0,0,0,0,0,1,00000000,00000009,0000002a,00000000,00000000,00000000,00000000
59,59,0,0,0,0,0,1,00000000,00000009,0000002b,00000000,00000000,00000000,00000000
60,60,0,0,0,0,0,1,00000000,0000000a,0000002c,00000000,00000000,00000000,00000000
61,61,0,0,0,0,0,1,00000000,0000000a,0000002d,00000000,00000000,00000000,00000000
62,62,0,0,0,0,0,1,00000000,0000000a,0000002e,00000000,00000000,00000000,00000000
63,63,0,0,0,0,0,1,00000000,0000000b,0000002f,00000000,00000000,00000000,00000000
64,64,0,0,0,0,0,1,00000000,0000000b,00000030,00000000,00000000,00000000,00000000
65,65,0,0,0,0,0,1,00000000,0000000b,00000031,00000000,00000000,00000000,00000000
66,66,0,0,0,0,0,1,00000000,0000000b,00000032,00000000,00000000,00000000,00000000
67,67,0,0,0,0,0,1,00000000,0000000b,00000033,00000000,00000000,00000000,00000000
68,68,0,0,0,0,0,1,00000000,0000000b,00000034,00000000,00000000,00000000,00000000
69,69,0,0,0,0,0,1,00000000,0000000b,00000035,00000000,00000000,00000000,00000000
70,70,0,0,0,0,0,1,00000000,0000000c,00000036,00000000,00000000,00000000,00000000
71,71,0,0,0,0,0,1,00000000,0000000c,00000037,00000000,00000000,00000000,00000000
72,72,0,0,0,0,0,1,00000000,0000000c,00000038,00000000,00000000,00000000,00000000
73,73,0,0,0,0,0,1,00000000,0000000d,00000039,00000000,00000000,00000000,00000000
74,74,0,0,0,0,0,1,00000000,0000000d,0000003a,00000000,00000000,00000000,00000000
75,75,0,0,0,0,0,1,00000000,0000000d,0000003b,00000000,00000000,00000000,00000000
76,76,0,0,0,0,0,1,00000000,0000000d,0000003c,00000000,00000000,00000000,00000000
77,77,0,0,0,0,0,1,00000000,0000000d,0000003d,00000000,00000000,00000000,00000000
78,78,0,0,0,0,0,1,00000000,0000000d,0000003e,00000000,00000000,00000000,00000000
79,79,0,0,0,0,0,1,00000000,0000000d,0000003f,00000000,00000000,00000000,00000000
80,80,0,0,0,0,0,1,00000000,0000000e,00000040,00000000,00000000,00000000,00000000
81,81,0,0,0,0,0,1,00000000,0000000e,00000041,00000000,00000000,00000000,00000000
82,82,0,0,0,0,0,1,00000000,0000000e,00000042,00000000,00000000,00000000,00000000
83,83,0,0,0,0,0,1,00000000,0000000e,00000043,00000000,00000000,00000000,00000000
84,84,0,0,0,0,0,1,00000000,0000000e,00000044,00000000,00000000,00000000,00000000
85,85,0,0,0,0,0,1,00000000,0000000e,00000045,00000000,00000000,00000000,00000000
86,86,0,0,0,0,0,1,00000000,0000000e,00000046,00000000,00000000,00000000,00000000
87,87,0,0,0,0,0,1,00000000,0000000f,00000047,00000000,00000000,00000000,00000000
88,88,0,0,0,0,0,1,00000000,0000000f,00000048,00000000,00000000,00000000,00000000
89,89,0,0,0,0,0,1,00000000,0000000f,00000049,00000000,00000000,00000000,00000000
90,90,0,0,0,0,0,1,00000000,0000000f,0000004a,00000000,00000000,00000000,00000000
91,91,0,0,0,0,0,1,00000000,0000000f,0000004b,00000000,00000000,00000000,00000000
92,92,0,0,0,0,0,1,00000000,0000000f,0000004c,00000000,00000000,00000000,00000000
93,93,0,0,0,0,0,1,00000000,0000000f,0000004d,00000000,00000000,00000000,00000000
94,94,0,0,0,0,0,1,00000000,00000010,0000004e,00000000,00000000,00000000,00000000
95,95,0,0,0,0,0,1,00000000,00000010,0000004f,00000000,00000000,00000000,00000000
96,96,0,0,0,0,0,1,00000000,00000010,00000050,00000000,00000000,00000000,00000000
97,97,0,0,0,0,0,1,00000000,00000010,00000051,00000000,00000000,00000000,00000000
98,98,0,0,0,0,0,1,00000000,00000010,00000052,00000001,00000000,00000000,00000000
99,99,0,0,0,0,0,1,00000000,00000011,00000053,00000002,00000001,00000001,00000000
100,100,0,0,0,0,0,1,00000000,00000012,00000054,00000003,00000002,00000002,00000000
101,101,0,0,0,0,0,1,00000000,00000013,00000055,00000004,00000003,00000003,00000000
102,102,0,0,0,0,0,1,00000000,00000014,00000056,00000005,00000004,00000004,00000000
103,103,0,0,0,0,0,1,00000000,00000014,00000057,00000006,00000004,00000004,00000000
104,104,0,0,0,0,0,1,00000000,00000015,00000058,00000007,00000005,00000005,00000000
105,105,0,0,0,0,0,1,00000000,00000016,00000059,00000008,00000006,00000006,00000000
106,106,0,0,0,0,0,1,00000000,00000017,0000005a,00000009,00000007,00000007,00000000
107,107,0,0,0,0,0,1,00000000,00000018,0000005b,0000000a,00000008,00000008,00000000
108,108,0,0,0,0,0,1,00000000,00000018,0000005c,0000000a,00000008,00000008,00000000
109,109,0,0,0,1,0,1,00000000,00000018,0000005d,0000000a,00000008,00000008,00000000
110,110,0,0,0,1,0,1,00000000,00000019,0000005e,0000000a,00000008,00000008,00000000
111,111,0,0,0,1,0,1,00000000,00000019,0000005f,0000000a,00000008,00000008,00000000
112,112,0,0,0,1,0,1,00000000,00000019,00000060,0000000a,00000008,00000008,00000000
113,113,0,0,0,1,0,1,00000000,00000019,00000061,0000000a,00000008,00000008,00000000
114,114,0,0,0,1,0,1,00000000,0000001a,00000062,0000000a,00000008,00000008,00000000
115,115,0,0,0,1,0,1,00000000,0000001a,00000063,0000000a,00000008,00000008,00000000
116,116,0,0,0,1,0,1,00000000,0000001a,00000064,0000000a,00000008,00000008,00000000
117,117,0,0,0,1,0,1,00000000,0000001a,00000065,0000000a,00000008,00000008,00000000
118,118,0,0,0,1,0,1,00000000,0000001b,00000066,0000000a,00000008,00000008,00000000
119,119,0,0,0,1,0,1,00000000,0000001b,00000067,0000000a,00000008,00000008,00000000
120,120,0,0,0,0,0,1,00000000,0000001b,00000068,0000000a,00000008,00000008,00000000
121,121,0,0,0,0,0,1,00000000,0000001c,00000069,0000000a,00000008,00000008,00000000
122,122,0,0,0,0,0,1,00000000,0000001c,0000006a,0000000a,00000008,00000008,00000000
123,123,0,0,0,0,0,1,00000000,0000001c,0000006b,0000000b,00000008,00000008,00000000
124,124,0,0,0,0,0,1,00000001,0000001c,0000006c,0000000c,00000009,00000008,00000001
125,125,0,0,0,0,0,1,00000002,0000001c,0000006d,0000000d,0000000a,00000008,00000002
126,126,0,0,0,0,0,1,00000003,0000001c,0000006e,0000000e,0000000b,00000008,00000003
127,127,0,0,0,0,0,1,00000004,0000001c,0000006f,0000000f,0000000c,00000008,00000004
128,128,0,0,0,0,0,1,00000005,0000001c,00000070,00000010,0000000d,00000008,00000005
129,129,0,0,0,0,0,1,00000006,0000001c,00000071,00000011,0000000e,00000008,00000006
130,130,0,0,0,0,0,1,00000007,0000001c,00000072,00000012,0000000f,00000008,00000007
131,131,0,0,0,0,0,1,00000008,0000001c,00000073,00000013,00000010,00000008,00000008
132,132,0,0,0,0,0,1,00000009,0000001c,00000074,00000014,00000011,00000008,00000009
133,133,0,0,0,0,0,1,0000000a,0000001c,00000075,00000015,00000012,00000008,0000000a
134,134,0,0,0,0,0,1,0000000b,0000001c,00000076,00000016,00000013,00000008,0000000b
135,135,0,0,0,0,0,1,0000000c,0000001c,00000077,00000017,00000014,00000008,0000000c
136,136,0,0,0,0,0,1,0000000d,0000001c,00000078,00000018,00000015,00000008,0000000d
137,137,0,0,0,0,0,1,0000000e,0000001c,00000079,00000019,00000016,00000008,0000000e
138,138,0,0,0,0,0,1,0000000f,0000001c,0000007a,0000001a,00000017,00000008,0000000f
139,139,0,0,0,0,0,1,00000010,0000001c,0000007b,0000001b,00000018,00000008,00000010
140,140,0,0,0,0,0,1,00000010,0000001c,0000007c,0000001c,00000018,00000008,00000010
141,141,0,1,0,0,0,1,00000010,0000001c,0000007d,0000001c,00000018,00000008,00000010
142,142,0,1,1,0,0,1,00000010,0000001c,0000007e,0000001c,00000018,00000008,00000010
143,143,0,1,1,0,0,1,00000010,0000001d,0000007f,0000001c,00000018,00000008,00000010
144,144,0,1,1,0,0,1,00000010,0000001d,00000080,0000001c,00000018,00000008,00000010
145,145,0,1,1,0,0,1,00000010,0000001d,00000081,0000001c,00000018,00000008,00000010
146,146,0,1,1,0,0,1,00000010,0000001d,00000082,0000001c,00000018,00000008,00000010
147,147,0,1,1,0,0,1,00000010,0000001e,00000083,0000001c,00000018,00000008,00000010
148,148,0,1,1,0,0,1,00000010,0000001e,00000084,0000001c,00000018,00000008,00000010
149,149,0,1,1,0,0,1,00000010,0000001e,00000085,0000001c,00000018,00000008,00000010
150,150,0,1,1,0,0,1,00000010,0000001e,00000086,0000001c,00000018,00000008,00000010
151,151,0,1,1,0,0,1,00000010,0000001f,00000087,0000001c,00000018,00000008,00000010
152,152,0,1,1,0,0,1,00000010,0000001f,00000088,0000001c,00000018,00000008,00000010
153,153,0,1,1,0,0,1,00000010,0000001f,00000089,0000001c,00000018,00000008,00000010
154,154,0,1,1,0,0,1,00000010,00000020,0000008a,0000001c,00000018,00000008,00000010
155,155,0,1,1,0,0,1,00000010,00000020,0000008b,0000001c,00000018,00000008,00000010
156,156,0,1,1,0,0,1,00000010,00000020,0000008c,0000001c,00000018,00000008,00000010
157,157,0,1,1,0,0,1,00000010,00000020,0000008d,0000001c,00000018,00000008,00000010
158,158,0,1,1,0,0,1,00000010,00000020,0000008e,0000001c,00000018,00000008,00000010
159,159,0,1,1,0,0,1,00000010,00000020,0000008f,0000001c,00000018,00000008,00000010
160,160,0,1,1,0,0,1,00000010,00000021,00000090,0000001c,00000018,00000008,00000010
161,161,0,1,1,0,0,1,00000010,00000021,00000091,0000001c,00000018,00000008,00000010
162,162,0,1,1,0,0,1,00000010,00000021,00000092,0000001c,00000018,00000008,00000010
163,163,0,1,1,0,0,1,00000010,00000021,00000093,0000001c,00000018,00000008,00000010
164,164,0,1,1,0,0,1,00000010,00000022,00000094,0000001c,00000018,00000008,00000010
165,165,0,1,1,0,0,1,00000010,00000022,00000095,0000001c,00000018,00000008,00000010
166,166,0,1,1,0,0,1,00000010,00000022,00000096,0000001c,00000018,00000008,00000010
167,167,0,1,1,0,0,1,00000010,00000022,00000097,0000001c,00000018,00000008,00000010
168,168,0,1,1,0,0,1,00000010,00000023,00000098,0000001c,00000018,00000008,00000010
169,169,0,1,1,0,0,1,00000010,00000023,00000099,0000001c,00000018,00000008,00000010
170,170,0,1,1,0,0,1,00000010,00000023,0000009a,0000001c,00000018,00000008,00000010
171,171,0,1,1,0,0,1,00000010,00000024,0000009b,0000001c,00000018,00000008,00000010
172,172,0,1,1,0,0,1,00000010,00000024,0000009c,0000001c,00000018,00000008,00000010
173,173,0,1,1,0,0,1,00000010,00000024,0000009d,0000001c,00000018,00000008,00000010
174,174,0,1,1,0,0,1,00000010,00000024,0000009e,0000001c,00000018,00000008,00000010
175,175,0,1,1,0,0,1,00000010,00000024,0000009f,0000001c,00000018,00000008,00000010
176,176,0,1,1,0,0,1,00000010,00000024,000000a0,0000001c,00000018,00000008,00000010
177,177,0,1,1,0,0,1,00000010,00000025,000000a1,0000001c,00000018,00000008,00000010
178,178,0,1,1,0,0,1,00000010,00000025,000000a2,0000001c,00000018,00000008,00000010
179,179,0,1,1,0,0,1,00000010,00000025,000000a3,0000001c,00000018,00000008,00000010
180,180,0,1,1,0,0,1,00000010,00000025,000000a4,0000001c,00000018,00000008,00000010
181,181,0,1,1,0,0,1,00000011,00000025,000000a5,0000001c,00000018,00000008,00000010
182,182,0,1,1,0,0,1,00000011,00000025,000000a6,0000001c,00000018,00000008,00000010
183,183,0,1,1,0,0,1,00000011,00000025,000000a7,0000001c,00000018,00000008,00000010
184,184,0,1,1,0,0,1,00000011,00000025,000000a8,0000001c,00000018,00000008,00000010
185,185,0,1,1,0,0,1,00000011,00000025,000000a9,0000001c,00000018,00000008,00000010
186,186,0,1,1,0,0,1,00000011,00000025,000000aa,0000001c,00000018,00000008,00000010
187,187,0,1,1,0,0,1,00000011,00000025,000000ab,0000001c,00000018,00000008,00000010
188,188,0,1,1,0,0,1,00000011,00000026,000000ac,0000001c,00000018,00000008,00000010
189,189,0,1,1,0,0,1,00000011,00000026,000000ad,0000001c,00000018,00000008,00000010
190,190,0,1,1,0,0,1,00000011,00000026,000000ae,0000001c,00000018,00000008,00000010
191,191,0,1,1,0,0,1,00000011,00000026,000000af,0000001c,00000018,00000008,00000010
192,192,0,1,1,0,0,1,00000012,00000026,000000b0,0000001c,00000018,00000008,00000010
193,193,0,1,1,0,0,1,00000012,00000026,000000b1,0000001c,00000018,00000008,00000010
194,194,0,1,1,0,0,1,00000012,00000026,000000b2,0000001c,00000018,00000008,00000010
195,195,0,1,1,0,0,1,00000012,00000026,000000b3,0000001c,00000018,00000008,00000010
196,196,0,1,1,0,0,1,00000012,00000026,000000b4,0000001c,00000018,00000008,00000010
197,197,0,1,1,0,0,1,00000012,00000026,000000b5,0000001c,00000018,00000008,00000010
198,198,0,1,1,0,0,1,00000012,00000026,000000b6,0000001c,00000018,00000008,00000010
199,199,0,1,1,0,0,1,00000012,00000027,000000b7,0000001c,00000018,00000008,00000010
200,200,0,1,1,0,0,1,00000012,00000027,000000b8,0000001c,00000018,00000008,00000010
201,201,0,1,1,0,0,1,00000012,00000027,000000b9,0000001c,00000018,00000008,00000010
202,202,0,1,1,0,0,1,00000012,00000027,000000ba,0000001c,00000018,00000008,00000010
203,203,0,1,1,0,0,1,00000013,00000027,000000bb,0000001c,00000018,00000008,00000010
204,204,0,1,1,0,0,1,00000013,00000027,000000bc,0000001c,00000018,00000008,00000010
205,205,0,1,1,0,0,1,00000013,00000027,000000bd,0000001c,00000018,00000008,00000010
206,206,0,1,1,0,0,1,00000013,00000027,000000be,0000001c,00000018,00000008,00000010
207,207,0,1,1,0,0,1,00000013,00000027,000000bf,0000001c,00000018,00000008,00000010
208,208,0,1,1,0,0,1,00000013,00000027,000000c0,0000001c,00000018,00000008,00000010
209,209,0,1,1,0,0,1,00000013,00000027,000000c1,0000001c,00000018,00000008,00000010
210,210,0,1,1,0,0,1,00000013,00000028,000000c2,0000001c,00000018,00000008,00000010
211,211,0,1,1,0,0,1,00000013,00000028,000000c3,0000001c,00000018,00000008,00000010
212,212,0,1,1,0,0,1,00000013,00000028,000000c4,0000001c,00000018,00000008,00000010
213,213,0,1,1,0,0,1,00000013,00000028,000000c5,0000001c,00000018,00000008,00000010
214,214,0,1,1,0,0,1,00000014,00000028,000000c6,0000001c,00000018,00000008,00000010
215,215,0,1,1,0,0,1,00000014,00000028,000000c7,0000001c,00000018,00000008,00000010
216,216,0,1,1,0,0,1,00000014,00000028,000000c8,0000001c,00000018,00000008,00000010
217,217,0,1,1,0,0,1,00000014,00000028,000000c9,0000001c,00000018,00000008,00000010
218,218,0,1,1,0,0,1,00000014,00000028,000000ca,0000001c,00000018,00000008,00000010
219,219,0,1,1,0,0,1,00000014,00000029,000000cb,0000001c,00000018,00000008,00000010
220,220,0,1,1,0,0,1,00000014,00000029,000000cc,0000001c,00000018,00000008,00000010
221,221,0,1,1,0,0,1,00000014,00000029,000000cd,0000001c,00000018,00000008,00000010
222,222,0,1,1,0,0,1,00000014,0000002a,000000ce,0000001c,00000018,00000008,00000010
223,223,0,1,1,0,0,1,00000014,0000002a,000000cf,0000001c,00000018,00000008,00000010
224,224,0,1,1,0,0,1,00000014,0000002a,000000d0,0000001c,00000018,00000008,00000010
225,225,0,1,1,0,0,1,00000014,0000002a,000000d1,0000001c,00000018,00000008,00000010
226,226,0,1,1,0,0,1,00000015,0000002a,000000d2,0000001c,00000018,00000008,00000010
227,227,0,1,1,0,0,1,00000015,0000002a,000000d3,0000001c,00000018,00000008,00000010
228,228,0,1,1,0,0,1,00000015,0000002a,000000d4,0000001c,00000018,00000008,00000010
229,229,0,1,1,0,0,1,00000015,0000002a,000000d5,0000001c,00000018,00000008,00000010
230,230,0,1,1,0,0,1,00000015,0000002a,000000d6,0000001c,00000018,00000008,00000010
231,231,0,1,1,0,0,1,00000015,0000002b,000000d7,0000001c,00000018,00000008,00000010
232,232,0,1,1,0,0,1,00000015,0000002b,000000d8,0000001c,00000018,00000008,00000010
233,233,0,1,1,0,0,1,00000015,0000002b,000000d9,0000001c,00000018,00000008,00000010
234,234,0,1,1,0,0,1,00000015,0000002c,000000da,0000001c,00000018,00000008,00000010
235,235,0,1,1,0,0,1,00000015,0000002c,000000db,0000001c,00000018,00000008,00000010
236,236,0,1,1,0,0,1,00000015,0000002c,000000dc,0000001c,00000018,00000008,00000010
237,237,0,1,1,0,0,1,00000015,0000002c,000000dd,0000001c,00000018,00000008,00000010
238,238,0,1,1,0,0,1,00000015,0000002d,000000de,0000001c,00000018,00000008,00000010
239,239,0,1,1,0,0,1,00000015,0000002d,000000df,0000001c,00000018,00000008,00000010
240,240,0,1,1,0,0,1,00000015,0000002d,000000e0,0000001c,00000018,00000008,00000010
241,241,0,1,1,0,0,1,00000015,0000002e,000000e1,0000001c,00000018,00000008,00000010
242,242,0,1,1,0,0,1,00000015,0000002e,000000e2,0000001c,00000018,00000008,00000010
243,243,0,1,1,0,0,1,00000015,0000002e,000000e3,0000001c,00000018,00000008,00000010
244,244,0,1,1,0,0,1,00000015,0000002e,000000e4,0000001c,00000018,00000008,00000010
245,245,0,1,1,0,0,1,00000015,0000002f,000000e5,0000001c,00000018,00000008,00000010
246,246,0,1,1,0,0,1,00000015,0000002f,000000e6,0000001c,00000018,00000008,00000010
247,247,0,1,1,0,0,1,00000015,0000002f,000000e7,0000001c,00000018,00000008,00000010
248,248,0,1,1,0,0,1,00000015,00000030,000000e8,0000001c,00000018,00000008,00000010
249,249,0,1,1,0,0,1,00000015,00000030,000000e9,0000001c,00000018,00000008,00000010
250,250,0,1,1,0,0,1,00000015,00000030,000000ea,0000001c,00000018,00000008,00000010
251,251,0,1,1,0,0,1,00000015,00000030,000000eb,0000001c,00000018,00000008,00000010
252,252,0,1,1,0,0,1,00000015,00000031,000000ec,0000001c,00000018,00000008,00000010
253,253,0,1,1,0,0,1,00000015,00000031,000000ed,0000001c,00000018,00000008,00000010
254,254,0,1,1,0,0,1,00000015,00000031,000000ee,0000001c,00000018,00000008,00000010
